youtube_title,youtube_link
 Python超入門コース#01 Pythonのコース紹介,https://www.youtube.com/watch?v=3jymAyMJjR8
 Python超入門コース#02 Pythonとは？,https://www.youtube.com/watch?v=vfd80_TBM7U
 Python超入門コース#03 環境構築,https://www.youtube.com/watch?v=qbpvBr71h9U
 Python超入門コース#04 プログラムの基本構造,https://www.youtube.com/watch?v=tfvJny0ZJi8
 Python超入門コース#05 実行,https://www.youtube.com/watch?v=DE5n5qz7104
 Python超入門コース#06 変数,https://www.youtube.com/watch?v=9sASnwpBHkk
 Python超入門コース#07 データ型,https://www.youtube.com/watch?v=zbseHk5QPk0
 Python超入門コース#08 リスト,https://www.youtube.com/watch?v=1dQpxoome4Y
 python超入門コース#09 演算子,https://www.youtube.com/watch?v=Dz8-31zPVFQ
 Python超入門コース#10 条件分岐,https://www.youtube.com/watch?v=sPOX6uIiRYQ
 Python超入門コース#11 反復,https://www.youtube.com/watch?v=d-eWPT74zXY
 Python超入門コース#12 関数,https://www.youtube.com/watch?v=nb4jPV_oXLE
 Python超入門コース#13 クラス,https://www.youtube.com/watch?v=nb4jPV_oXLE
 Python超入門コース#14 実践,https://www.youtube.com/watch?v=hbmLczYGvJk
